,date,time,ans,InputID,story_num,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy,counts
1468,2017/10/09,15:02:08,321,31510074,2,2,2,3,CHECK,0,0,1,2,3,1507528913,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_2,r,60
1473,2017/10/09,15:02:23,321,31510074,2,2,3,3,CHECK,0,0,1,2,3,1507528928,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,60
1478,2017/10/09,15:02:37,321,31510074,2,2,4,3,CHECK,0,0,1,2,3,1507528944,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,60
1483,2017/10/09,15:02:49,321,31510074,2,2,5,3,CHECK,0,0,1,2,3,1507528958,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_5,r,60
1494,2017/10/09,15:03:37,213,31510074,2,3,1,9,CHECK,0,0,3,1,2,1507528971,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_1,r,60
1499,2017/10/09,15:03:52,213,31510074,2,3,2,3,CHECK,0,0,3,1,2,1507529018,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_2,r,60
1504,2017/10/09,15:04:05,213,31510074,2,3,3,3,CHECK,0,0,3,1,2,1507529033,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_3,F*,60
1509,2017/10/09,15:04:18,213,31510074,2,3,4,3,CHECK,0,0,3,1,2,1507529046,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_4,r,60
1514,2017/10/09,15:04:38,213,31510074,2,3,5,3,CHECK,0,0,3,1,2,1507529058,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_5,r,60
2345,2017/10/16,14:45:27,321,31510074,3,1,1,3,CHECK,0,0,1,2,3,1508132707,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_1,F*,60
2350,2017/10/16,14:45:41,321,31510074,3,1,2,3,CHECK,0,0,1,2,3,1508132728,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_2,F*,60
2355,2017/10/16,14:45:54,321,31510074,3,1,3,3,CHECK,0,0,1,2,3,1508132742,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_3,F*,60
2360,2017/10/16,14:46:12,321,31510074,3,1,4,3,CHECK,0,0,1,2,3,1508132754,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_1_4,n,60
2365,2017/10/16,14:46:29,321,31510074,3,1,5,3,CHECK,0,0,1,2,3,1508132773,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_1_5,n,60
2370,2017/10/16,14:46:49,321,31510074,3,2,1,3,CHECK,0,0,1,2,3,1508132792,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2_1,n,60
2375,2017/10/16,14:47:00,321,31510074,3,2,2,3,CHECK,0,0,1,2,3,1508132809,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_2,F*,60
2380,2017/10/16,14:47:12,321,31510074,3,2,3,3,CHECK,0,0,1,2,3,1508132820,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_3,F*,60
2385,2017/10/16,14:47:25,321,31510074,3,2,4,3,CHECK,0,0,1,2,3,1508132833,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_4,F*,60
2390,2017/10/16,14:47:35,321,31510074,3,2,5,3,CHECK,0,0,1,2,3,1508132846,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_5,F*,60
2395,2017/10/16,14:47:55,143,31510074,3,3,1,3,CHECK,0,0,3,4,1,1508132857,1,f,0,0,1,0,1,2,1,,,,,,,,,,F*,3_3_1,F*,60
2619,2017/10/16,15:10:12,321,31510074,3,3,2,3,CHECK,0,0,1,2,3,1508134184,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_2,n,60
2624,2017/10/16,15:10:26,321,31510074,3,3,3,3,CHECK,0,0,1,2,3,1508134213,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_3_3,s,60
2629,2017/10/16,15:10:45,321,31510074,3,3,4,3,CHECK,0,0,1,2,3,1508134227,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_4,n,60
2634,2017/10/16,15:11:02,321,31510074,3,3,5,3,CHECK,0,0,1,2,3,1508134245,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_5,n,60
3561,2017/10/30,14:25:02,321,31510074,4,1,1,3,CHECK,0,0,1,2,3,1509341087,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_1,F*,60
3567,2017/10/30,14:25:12,321,31510074,4,1,2,3,CHECK,0,0,1,2,3,1509341104,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_2,F*,60
3573,2017/10/30,14:25:22,321,31510074,4,1,3,3,CHECK,0,0,1,2,3,1509341113,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_1_3,r,60
3579,2017/10/30,14:25:34,321,31510074,4,1,4,3,CHECK,0,0,1,2,3,1509341123,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_1_4,n,60
3585,2017/10/30,14:25:45,321,31510074,4,1,5,3,CHECK,0,0,1,2,3,1509341134,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_5,F*,60
3591,2017/10/30,14:26:07,321,31510074,4,2,1,3,CHECK,0,0,1,2,3,1509341150,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_2_1,r,60
3597,2017/10/30,14:26:16,321,31510074,4,2,2,3,CHECK,0,0,1,2,3,1509341168,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_2_2,r,60
3609,2017/10/30,14:28:15,321,31510074,4,2,3,9,CHECK,0,0,1,2,3,1509341176,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_2_3,n,60
3615,2017/10/30,14:28:28,321,31510074,4,2,4,3,CHECK,0,0,1,2,3,1509341296,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_4,F*,60
3621,2017/10/30,14:28:42,321,31510074,4,2,5,3,CHECK,0,0,1,2,3,1509341309,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_2_5,r,60
3627,2017/10/30,14:29:08,564,31510074,4,3,1,3,CHECK,0,0,4,6,5,1509341324,1,f,0,0,1,1,0,2,1,,,,,,,,,,,4_3_1,n,60
3844,2017/10/30,14:49:49,621,31510074,4,3,2,3,CHECK,0,0,1,2,6,1509342563,1,f,1,1,1,1,0,4,1,,,,,,,,,,,4_3_2,n,60
3865,2017/10/30,14:50:41,321,31510074,4,3,3,3,CHECK,0,0,1,2,3,1509342618,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_3_3,r,60
3873,2017/10/30,14:50:54,321,31510074,4,3,4,5,CHECK,0,0,1,2,3,1509342641,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_3_4,n,60
3879,2017/10/30,14:51:13,321,31510074,4,3,5,3,CHECK,0,0,1,2,3,1509342655,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_3_5,r,60
2144,2017/11/06,14:51:43,321,31510074,5,1,1,3,CHECK,0,0,1,2,3,1509947465,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_1,F*,60
2150,2017/11/06,14:51:59,321,31510074,5,1,2,3,CHECK,0,0,1,2,3,1509947507,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_2,n,60
2156,2017/11/06,14:52:09,321,31510074,5,1,3,3,CHECK,0,0,1,2,3,1509947520,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_3,n,60
2162,2017/11/06,14:52:18,321,31510074,5,1,4,3,CHECK,0,0,1,2,3,1509947530,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_4,r,60
2168,2017/11/06,14:52:27,321,31510074,5,1,5,3,CHECK,0,0,1,2,3,1509947539,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_5,r,60
2174,2017/11/06,14:52:42,321,31510074,5,2,1,3,CHECK,0,0,1,2,3,1509947550,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_1,r,60
2180,2017/11/06,14:52:52,321,31510074,5,2,2,3,CHECK,0,0,1,2,3,1509947563,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_2,r,60
2186,2017/11/06,14:53:01,321,31510074,5,2,3,3,CHECK,0,0,1,2,3,1509947572,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_3,r,60
2192,2017/11/06,14:53:17,321,31510074,5,2,4,3,CHECK,0,0,1,2,3,1509947581,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_4,r,60
2198,2017/11/06,14:53:26,321,31510074,5,2,5,3,CHECK,0,0,1,2,3,1509947597,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_5,r,60
2206,2017/11/06,14:54:30,213,31510074,5,3,1,5,CHECK,0,0,3,1,2,1509947609,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_1,r,60
2212,2017/11/06,14:54:42,213,31510074,5,3,2,3,CHECK,0,0,3,1,2,1509947672,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_3_2,F*,60
2218,2017/11/06,14:54:53,213,31510074,5,3,3,3,CHECK,0,0,3,1,2,1509947683,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_3,r,60
2224,2017/11/06,14:55:04,213,31510074,5,3,4,3,CHECK,0,0,3,1,2,1509947693,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_4,r,60
2230,2017/11/06,14:55:14,213,31510074,5,3,5,3,CHECK,0,0,3,1,2,1509947705,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_5,r,60
1519,2017/10/09,15:06:39,321,31610044,2,1,1,3,CHECK,0,0,1,2,3,1507529186,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_1,F*,49
1526,2017/10/09,15:06:55,321,31610044,2,1,2,5,CHECK,0,0,1,2,3,1507529200,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_2,n,49
1531,2017/10/09,15:07:34,321,31610044,2,1,3,3,CHECK,0,0,1,2,3,1507529216,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_3,F*,49
1536,2017/10/09,15:07:45,321,31610044,2,1,4,3,CHECK,0,0,1,2,3,1507529255,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_4,F*,49
1543,2017/10/09,15:08:20,321,31610044,2,2,1,5,CHECK,0,0,1,2,3,1507529283,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2_1,n,49
1548,2017/10/09,15:08:43,321,31610044,2,2,2,3,CHECK,0,0,1,2,3,1507529302,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_2,F*,49
1555,2017/10/09,15:09:11,341,31610044,2,2,3,5,CHECK,0,0,1,4,3,1507529324,1,f,0,1,1,1,0,3,1,,,,,,,,,,,2_2_3,n,49
1563,2017/10/09,15:09:37,321,31610044,2,2,4,3,CHECK,0,0,1,2,3,1507529364,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,49
1568,2017/10/09,15:10:10,215,31610044,2,3,1,3,CHECK,0,0,5,1,2,1507529380,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,2_3_1,F*,49
1576,2017/10/09,15:10:39,231,31610044,2,3,2,3,CHECK,0,0,1,3,2,1507529419,1,f,0,1,1,1,1,4,1,,,,,,,,,,,2_3_2,n,49
1631,2017/10/09,15:12:37,213,31610044,2,3,3,3,CHECK,0,0,3,1,2,1507529537,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_3,F*,49
1638,2017/10/09,15:13:08,132,31610044,2,3,4,5,CHECK,0,0,2,3,1,1507529557,1,f,0,1,1,1,1,4,1,,,,,,,,,r,,2_3_4,r,49
2641,2017/10/16,14:59:28,321,31610044,3,1,1,5,CHECK,0,0,1,2,3,1508133556,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_1_1,n,49
2646,2017/10/16,14:59:37,321,31610044,3,1,2,3,CHECK,0,0,1,2,3,1508133569,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_2,F*,49
2651,2017/10/16,14:59:50,321,31610044,3,1,3,3,CHECK,0,0,1,2,3,1508133578,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_3,F*,49
2658,2017/10/16,15:00:04,321,31610044,3,1,4,5,CHECK,0,0,1,2,3,1508133590,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_4,F*,49
2663,2017/10/16,15:00:18,321,31610044,3,1,5,3,CHECK,0,0,1,2,3,1508133605,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_5,F*,49
2668,2017/10/16,15:01:01,321,31610044,3,2,1,3,CHECK,0,0,1,2,3,1508133621,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_1,F*,49
2673,2017/10/16,15:01:25,321,31610044,3,2,2,3,CHECK,0,0,1,2,3,1508133662,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_2,F*,49
2678,2017/10/16,15:01:37,321,31610044,3,2,3,3,CHECK,0,0,1,2,3,1508133686,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_3,F*,49
2683,2017/10/16,15:01:52,321,31610044,3,2,4,3,CHECK,0,0,1,2,3,1508133697,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_4,F*,49
2688,2017/10/16,15:02:11,321,31610044,3,2,5,3,CHECK,0,0,1,2,3,1508133713,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_5,F*,49
2693,2017/10/16,15:02:30,123,31610044,3,3,1,3,CHECK,0,0,3,2,1,1508133735,1,f,0,1,1,1,1,4,1,,,,,,,,,,F*,3_3_1,F*,49
2739,2017/10/16,15:04:12,415,31610044,3,3,2,5,CHECK,0,0,5,1,4,1508133818,1,f,0,0,1,1,0,2,1,,,,,,,,,,,3_3_2,n,49
2821,2017/10/16,15:07:06,321,31610044,3,3,3,3,CHECK,0,0,1,2,3,1508133992,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_3_3,s,49
2828,2017/10/16,15:10:39,521,31610044,3,3,4,5,CHECK,0,0,1,2,5,1508134217,1,f,0,0,1,0,0,1,1,,,,,,,,,,,3_3_4,n,49
2838,2017/10/16,15:11:14,321,31610044,3,3,5,5,CHECK,0,0,1,2,3,1508134244,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_3_5,r,49
3885,2017/10/30,14:56:38,321,31610044,4,1,1,3,CHECK,0,0,1,2,3,1509342990,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_1,F*,49
3891,2017/10/30,14:56:56,321,31610044,4,1,2,3,CHECK,0,0,1,2,3,1509342999,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_2,F*,49
3897,2017/10/30,14:57:07,321,31610044,4,1,3,3,CHECK,0,0,1,2,3,1509343018,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_3,F*,49
3903,2017/10/30,14:57:21,321,31610044,4,1,4,3,CHECK,0,0,1,2,3,1509343028,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_4,F*,49
3909,2017/10/30,14:57:32,321,31610044,4,1,5,3,CHECK,0,0,1,2,3,1509343042,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_5,F*,49
3915,2017/10/30,14:58:03,321,31610044,4,2,1,3,CHECK,0,0,1,2,3,1509343069,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_1,F*,49
3921,2017/10/30,14:59:13,321,31610044,4,2,2,3,CHECK,0,0,1,2,3,1509343084,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_2,F*,49
3927,2017/10/30,14:59:25,321,31610044,4,2,3,3,CHECK,0,0,1,2,3,1509343154,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_3,F*,49
3933,2017/10/30,14:59:38,321,31610044,4,2,4,3,CHECK,0,0,1,2,3,1509343166,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_4,F*,49
3939,2017/10/30,14:59:55,321,31610044,4,2,5,3,CHECK,0,0,1,2,3,1509343178,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_5,F*,49
3949,2017/10/30,15:18:53,534,31610044,4,3,1,7,CHECK,0,0,4,3,5,1509344235,1,f,0,0,1,1,1,3,1,,,,,,,,,,,4_3_1,n,49
4040,2017/10/30,15:22:21,345,31610044,4,3,2,3,CHECK,0,0,5,4,3,1509344521,1,f,0,0,1,1,1,3,1,,,,,,,,,,,4_3_2,n,49
4051,2017/10/30,15:22:54,321,31610044,4,3,3,3,CHECK,0,0,1,2,3,1509344561,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_3_3,n,49
4057,2017/10/30,15:23:22,321,31610044,4,3,4,3,CHECK,0,0,1,2,3,1509344583,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_3_4,r,49
4063,2017/10/30,15:23:37,321,31610044,4,3,5,3,CHECK,0,0,1,2,3,1509344607,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_3_5,n,49
2236,2017/11/06,14:40:01,321,31610044,5,2,4,3,CHECK,0,0,1,2,3,1509946794,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_4,r,49
2242,2017/11/06,14:40:10,321,31610044,5,2,5,3,CHECK,0,0,1,2,3,1509946802,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_5,r,49
2254,2017/11/06,14:40:51,123,31610044,5,3,1,9,CHECK,0,0,3,2,1,1509946813,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_1,r,49
2260,2017/11/06,14:41:11,523,31610044,5,3,2,3,CHECK,0,0,3,2,5,1509946860,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,5_3_2,r,49
2269,2017/11/06,14:41:25,123,31610044,5,3,3,3,CHECK,0,0,3,2,1,1509946877,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_3,r,49
2279,2017/11/06,14:41:40,123,31610044,5,3,4,7,CHECK,0,0,3,2,1,1509946885,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_4,r,49
2285,2017/11/06,14:41:51,123,31610044,5,3,5,3,CHECK,0,0,3,2,1,1509946901,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_5,r,49
1655,2017/10/09,15:03:59,321,72,2,1,1,5,CHECK,0,0,1,2,3,1507529004,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_1,n,45
1660,2017/10/09,15:04:28,326,72,2,1,2,3,CHECK,0,0,6,2,3,1507529040,1,f,0,1,1,1,0,3,1,,,,,,,,,,,2_1_2,n,45
1668,2017/10/09,15:04:58,321,72,2,1,3,3,CHECK,0,0,1,2,3,1507529080,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_3,r,45
1673,2017/10/09,15:05:11,321,72,2,1,4,3,CHECK,0,0,1,2,3,1507529099,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,45
1680,2017/10/09,15:05:32,321,72,2,1,5,5,CHECK,0,0,1,2,3,1507529113,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_5,r,45
1685,2017/10/09,15:06:01,321,72,2,2,1,3,CHECK,0,0,1,2,3,1507529135,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,45
1690,2017/10/09,15:06:14,321,72,2,2,2,3,CHECK,0,0,1,2,3,1507529162,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_2,r,45
1695,2017/10/09,15:06:28,321,72,2,2,3,3,CHECK,0,0,1,2,3,1507529175,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,45
1700,2017/10/09,15:06:39,321,72,2,2,4,3,CHECK,0,0,1,2,3,1507529189,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,45
1707,2017/10/09,15:06:57,321,72,2,2,5,5,CHECK,0,0,1,2,3,1507529200,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_5,r,45
1714,2017/10/09,15:07:27,325,72,2,3,1,5,CHECK,0,0,5,2,3,1507529220,1,f,0,0,0,0,0,0,1,,,,,,,,,r,,2_3_1,r,45
1753,2017/10/09,15:09:51,325,72,2,3,2,5,CHECK,0,0,5,2,3,1507529308,1,f,0,0,0,0,0,0,1,,,,,,,,,r,,2_3_2,r,45
1768,2017/10/09,15:10:34,324,72,2,3,3,3,CHECK,0,0,4,2,3,1507529413,1,f,0,1,0,1,1,3,1,,,,,,,,,r,,2_3_3,r,45
1778,2017/10/09,15:10:59,312,72,2,3,4,5,CHECK,0,0,2,1,3,1507529440,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_4,r,45
1783,2017/10/09,15:11:15,324,72,2,3,5,3,CHECK,0,0,4,2,3,1507529460,1,f,0,1,0,1,1,3,1,,,,,,,,,r,,2_3_5,r,45
4069,2017/10/30,14:39:47,321,72,4,1,1,3,CHECK,0,0,1,2,3,1509341937,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_1,F*,45
4075,2017/10/30,14:40:34,324,72,4,1,2,3,CHECK,0,0,4,2,3,1509341988,1,f,0,1,0,1,1,3,1,,,,,,,,s,,,4_1_2,s,45
4088,2017/10/30,14:41:26,321,72,4,1,3,3,CHECK,0,0,1,2,3,1509342046,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_3,F*,45
4094,2017/10/30,14:42:04,321,72,4,1,4,3,CHECK,0,0,1,2,3,1509342087,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_4,F*,45
4100,2017/10/30,14:42:15,321,72,4,1,5,3,CHECK,0,0,1,2,3,1509342125,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_5,F*,45
4108,2017/10/30,14:43:11,321,72,4,2,1,5,CHECK,0,0,1,2,3,1509342139,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_2_1,n,45
4114,2017/10/30,14:43:36,321,72,4,2,2,3,CHECK,0,0,1,2,3,1509342192,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_2,F*,45
4120,2017/10/30,14:44:59,621,72,4,2,3,3,CHECK,0,0,1,2,6,1509342270,1,f,1,1,1,1,0,4,1,,,,,,,,,,F*,4_2_3,F*,45
4129,2017/10/30,14:45:45,341,72,4,2,4,3,CHECK,0,0,1,4,3,1509342303,1,f,0,0,1,0,1,2,1,,,,,,,,,,F*,4_2_4,F*,45
4140,2017/10/30,14:46:05,321,72,4,2,5,5,CHECK,0,0,1,2,3,1509342352,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_5,F*,45
4146,2017/10/30,14:46:28,453,72,4,3,1,3,CHECK,0,0,3,5,4,1509342372,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,4_3_1,F*,45
4260,2017/10/30,14:53:59,321,72,4,3,2,3,CHECK,0,0,1,2,3,1509342806,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_3_2,r,45
4266,2017/10/30,14:54:36,123,72,4,3,3,3,CHECK,0,0,3,2,1,1509342842,1,f,0,1,1,1,1,4,1,,,,,,,,,r,,4_3_3,r,45
4277,2017/10/30,14:55:26,321,72,4,3,4,3,CHECK,0,0,1,2,3,1509342892,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_3_4,r,45
4283,2017/10/30,14:55:50,321,72,4,3,5,3,CHECK,0,0,1,2,3,1509342926,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_3_5,r,45
2291,2017/11/06,14:27:01,321,72,5,1,1,3,CHECK,0,0,1,2,3,1509945990,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_1,n,45
2297,2017/11/06,14:27:20,321,72,5,1,2,3,CHECK,0,0,1,2,3,1509946022,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_2,r,45
2307,2017/11/06,14:27:43,321,72,5,1,3,7,CHECK,0,0,1,2,3,1509946041,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_3,r,45
2313,2017/11/06,14:27:56,321,72,5,1,4,3,CHECK,0,0,1,2,3,1509946064,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_4,r,45
2319,2017/11/06,14:28:11,321,72,5,1,5,3,CHECK,0,0,1,2,3,1509946077,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_5,r,45
2325,2017/11/06,14:28:28,325,72,5,2,1,3,CHECK,0,0,5,2,3,1509946094,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,5_2_1,r,45
2336,2017/11/06,14:28:50,321,72,5,2,2,3,CHECK,0,0,1,2,3,1509946114,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_2,r,45
2342,2017/11/06,14:29:30,321,72,5,2,3,3,CHECK,0,0,1,2,3,1509946130,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_3,r,45
2348,2017/11/06,14:30:04,321,72,5,2,4,3,CHECK,0,0,1,2,3,1509946171,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_4,r,45
2354,2017/11/06,14:30:30,321,72,5,2,5,3,CHECK,0,0,1,2,3,1509946205,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_5,r,45
2360,2017/11/06,14:31:21,352,72,5,3,1,3,CHECK,0,0,2,5,3,1509946244,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,5_3_1,r,45
2371,2017/11/06,14:32:13,312,72,5,3,2,5,CHECK,0,0,2,1,3,1509946285,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_2,r,45
2379,2017/11/06,14:32:49,312,72,5,3,3,5,CHECK,0,0,2,1,3,1509946334,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_3,r,45
2385,2017/11/06,14:33:05,312,72,5,3,4,3,CHECK,0,0,2,1,3,1509946369,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_4,r,45
2391,2017/11/06,14:33:20,312,72,5,3,5,3,CHECK,0,0,2,1,3,1509946386,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_5,r,45
1793,2017/10/09,15:02:35,321,31710150,2,1,1,3,CHECK,0,0,1,2,3,1507528929,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_1,F*,60
1798,2017/10/09,15:02:55,321,31710150,2,1,2,3,CHECK,0,0,1,2,3,1507528957,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_2,r,60
1803,2017/10/09,15:03:08,321,31710150,2,1,3,3,CHECK,0,0,1,2,3,1507528976,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_3,r,60
1808,2017/10/09,15:03:24,321,31710150,2,1,4,3,CHECK,0,0,1,2,3,1507528989,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,60
1815,2017/10/09,15:03:40,321,31710150,2,1,5,5,CHECK,0,0,1,2,3,1507529005,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_5,r,60
1820,2017/10/09,15:04:13,321,31710150,2,2,1,3,CHECK,0,0,1,2,3,1507529025,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,60
1825,2017/10/09,15:04:29,321,31710150,2,2,2,3,CHECK,0,0,1,2,3,1507529055,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_2,r,60
1830,2017/10/09,15:04:44,321,31710150,2,2,3,3,CHECK,0,0,1,2,3,1507529070,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,60
